Overcast,4.0,59
Overcast,5.0,94
Overcast,6.0,53
Overcast,7.0,120
Overcast,8.0,141
Overcast,9.0,112
Partly Cloudy,10.0,541
Light Rain,2.5,30
Light Rain,3.0,54
Light Rain,4.0,60
Light Rain,5.0,51
Light Rain,6.0,37
Light Rain,7.0,22
Light Rain,8.0,29
Light Rain,9.0,16
Light Snow,0.8,21
Light Snow,1.0,6
Light Snow,1.2,5
Light Snow,1.5,2
Light Snow,1.8,7
Light Snow,2.0,2
Light Snow,2.5,6
Light Snow,4.0,4
Light Snow,6.0,1
Mostly Cloudy,10.0,706
Mostly Cloudy,2.0,1
Mostly Cloudy,2.5,1
Mostly Cloudy,4.0,6
Mostly Cloudy,5.0,6
Mostly Cloudy,6.0,3
Mostly Cloudy,7.0,28
Mostly Cloudy,8.0,50
Mostly Cloudy,9.0,49
Overcast,1.0,6
Overcast,1.2,2
Overcast,1.5,3
Overcast,1.8,9
Overcast,10.0,1778
Overcast,2.0,8
Overcast,2.5,26
Overcast,3.0,55
Haze,6.0,166
Haze,8.0,1
Haze,9.0,1
Heavy Rain,0.2,1
Heavy Rain,0.5,3
Heavy Rain,0.8,3
Heavy Rain,1.0,3
Heavy Rain,1.2,3
Heavy Rain,1.5,3
Heavy Rain,1.8,5
Heavy Rain,3.0,1
Light Freezing Rain,3.0,2
Light Rain,1.0,1
Light Rain,1.2,5
Light Rain,1.5,5
Light Rain,1.8,19
Light Rain,10.0,32
Light Rain,2.0,28
Partly Cloudy,4.0,4
Partly Cloudy,5.0,5
Partly Cloudy,7.0,16
Partly Cloudy,8.0,41
Partly Cloudy,9.0,62
Rain,0.5,2
Rain,0.8,2
Rain,1.0,1
Rain,1.2,2
Rain,1.5,8
Rain,1.8,13
Rain,2.0,9
Rain,2.5,17
Rain,3.0,8
Rain,4.0,3
Rain,5.0,2
Scattered Clouds,10.0,425
Scattered Clouds,5.0,2
Scattered Clouds,6.0,1
Scattered Clouds,7.0,23
Scattered Clouds,8.0,32
Scattered Clouds,9.0,40
Snow,0.2,5
Snow,0.5,11
Clear,10.0,5763
Clear,3.0,1
Clear,4.0,2
Clear,5.0,2
Clear,6.0,2
Clear,7.0,104
Clear,8.0,220
Clear,9.0,345
Haze,1.8,1
Haze,10.0,29
Haze,2.0,2
Haze,2.5,4
Haze,3.0,9
Haze,4.0,19
Haze,5.0,95
