,s_visi,s_cond,e_visi,e_cond
0,6.0,Haze,6.0,Haze
1,10.0,Clear,10.0,Clear
2,8.0,Overcast,8.0,Overcast
3,10.0,Clear,10.0,Clear
4,10.0,Partly Cloudy,10.0,Partly Cloudy
5,10.0,Clear,10.0,Clear
6,10.0,Mostly Cloudy,10.0,Mostly Cloudy
7,10.0,Partly Cloudy,10.0,Partly Cloudy
8,10.0,Partly Cloudy,10.0,Partly Cloudy
9,10.0,Clear,10.0,Clear
10,9.0,Clear,9.0,Clear
11,10.0,Clear,10.0,Clear
12,10.0,Overcast,10.0,Overcast
13,10.0,Partly Cloudy,10.0,Partly Cloudy
14,10.0,Clear,10.0,Clear
15,7.0,Mostly Cloudy,7.0,Mostly Cloudy
16,7.0,Mostly Cloudy,8.0,Partly Cloudy
17,10.0,Clear,10.0,Clear
18,10.0,Clear,10.0,Clear
19,6.0,Haze,6.0,Haze
20,2.0,Light Rain,3.0,Overcast
21,10.0,Clear,10.0,Clear
22,10.0,Overcast,10.0,Overcast
23,10.0,Clear,10.0,Clear
24,10.0,Clear,10.0,Clear
25,10.0,Partly Cloudy,10.0,Partly Cloudy
26,10.0,Clear,10.0,Clear
27,10.0,Partly Cloudy,10.0,Partly Cloudy
28,10.0,Mostly Cloudy,10.0,Mostly Cloudy
29,10.0,Clear,10.0,Clear
30,10.0,Overcast,10.0,Overcast
31,10.0,Clear,10.0,Clear
32,10.0,Clear,10.0,Clear
33,8.0,Clear,8.0,Clear
34,10.0,Clear,10.0,Clear
35,10.0,Clear,10.0,Partly Cloudy
36,10.0,Clear,10.0,Clear
37,10.0,Clear,10.0,Clear
38,10.0,Clear,10.0,Clear
39,1.8,Rain,8.0,Scattered Clouds
40,10.0,Clear,10.0,Clear
41,8.0,Clear,8.0,Clear
42,10.0,Scattered Clouds,10.0,Scattered Clouds
43,10.0,Scattered Clouds,10.0,Scattered Clouds
44,10.0,Overcast,10.0,Overcast
45,10.0,Clear,10.0,Clear
46,10.0,Clear,10.0,Clear
47,10.0,Clear,10.0,Clear
48,10.0,Clear,10.0,Clear
49,0.5,Heavy Rain,3.0,Mostly Cloudy
50,10.0,Clear,10.0,Clear
51,8.0,Overcast,1.2,Light Rain
52,7.0,Mostly Cloudy,7.0,Mostly Cloudy
53,10.0,Clear,10.0,Clear
54,8.0,Partly Cloudy,8.0,Partly Cloudy
55,10.0,Clear,10.0,Clear
56,10.0,Partly Cloudy,10.0,Partly Cloudy
57,10.0,Clear,10.0,Clear
58,10.0,Mostly Cloudy,10.0,Mostly Cloudy
59,10.0,Clear,10.0,Clear
60,10.0,Clear,10.0,Clear
61,10.0,Clear,10.0,Clear
62,10.0,Clear,10.0,Clear
63,10.0,Partly Cloudy,10.0,Partly Cloudy
64,10.0,Clear,10.0,Clear
65,10.0,Clear,10.0,Clear
66,10.0,Clear,10.0,Clear
67,10.0,Scattered Clouds,10.0,Clear
68,10.0,Clear,10.0,Clear
69,10.0,Overcast,10.0,Overcast
70,10.0,Mostly Cloudy,10.0,Scattered Clouds
71,10.0,Clear,10.0,Clear
72,9.0,Clear,9.0,Clear
73,10.0,Scattered Clouds,10.0,Scattered Clouds
74,10.0,Partly Cloudy,10.0,Partly Cloudy
75,10.0,Mostly Cloudy,10.0,Mostly Cloudy
76,9.0,Clear,9.0,Clear
77,10.0,Clear,10.0,Clear
78,10.0,Overcast,10.0,Overcast
79,7.0,Partly Cloudy,7.0,Partly Cloudy
80,10.0,Clear,10.0,Clear
81,10.0,Clear,10.0,Clear
82,8.0,Scattered Clouds,8.0,Scattered Clouds
83,10.0,Clear,10.0,Clear
84,10.0,Clear,10.0,Clear
85,10.0,Clear,10.0,Clear
86,10.0,Clear,10.0,Clear
87,10.0,Clear,10.0,Scattered Clouds
88,10.0,Clear,10.0,Clear
89,5.0,Haze,5.0,Haze
90,8.0,Clear,9.0,Clear
