Borough,Neighborhood,zip_code
Manhattan,Chelsea and Clinton,10001
Manhattan,Lower East Side,10002
Manhattan,Lower East Side,10003
Manhattan,Lower Manhattan,10004
Manhattan,Lower Manhattan,10005
Manhattan,Lower Manhattan,10006
Manhattan,Lower Manhattan,10007
Manhattan,Lower East Side,10009
Manhattan,Gramercy Park and Murray Hill,10010
Manhattan,Chelsea and Clinton,10011
Manhattan,Greenwich Village and Soho,10012
Manhattan,Greenwich Village and Soho,10013
Manhattan,Greenwich Village and Soho,10014
Manhattan,Gramercy Park and Murray Hill,10016
Manhattan,Gramercy Park and Murray Hill,10017
Manhattan,Chelsea and Clinton,10018
Manhattan,Chelsea and Clinton,10019
Manhattan,Chelsea and Clinton,10020
Manhattan,Upper East Side,10021
Manhattan,Gramercy Park and Murray Hill,10022
Manhattan,Upper West Side,10023
Manhattan,Upper West Side,10024
Manhattan,Upper West Side,10025
Manhattan,Central Harlem,10026
Manhattan,Central Harlem,10027
Manhattan,Upper East Side,10028
Manhattan,East Harlem,10029
Manhattan,Central Harlem,10030
Manhattan,Inwood and Washington Heights,10031
Manhattan,Inwood and Washington Heights,10032
Manhattan,Inwood and Washington Heights,10033
Manhattan,Inwood and Washington Heights,10034
Manhattan,East Harlem,10035
Manhattan,Chelsea and Clinton,10036
Manhattan,Central Harlem,10037
Manhattan,Lower Manhattan,10038
Manhattan,Central Harlem,10039
Manhattan,Inwood and Washington Heights,10040
Manhattan,Upper East Side,10044
Manhattan,Upper East Side,10065
Manhattan,Upper East Side,10075
Manhattan,Upper East Side,10128
Manhattan,Lower Manhattan,10280
Staten Island,Stapleton and St.George,10301
Staten Island,Port Richmond,10302
Staten Island,Port Richmond,10303
Staten Island,Stapleton and St.George,10304
Staten Island,Stapleton and St.George,10305
Staten Island,South Shore,10306
Staten Island,South Shore,10307
Staten Island,South Shore,10308
Staten Island,South Shore,10309
Staten Island,Port Richmond,10310
Staten Island,South Shore,10312
Staten Island,Mid-Island,10314
Bronx,High Bridge and Morrisania,10451
Bronx,High Bridge and Morrisania,10452
Bronx,Central Bronx,10453
Bronx,Hunts Point and Mott Haven,10454
Bronx,Hunts Point and Mott Haven,10455
Bronx,High Bridge and Morrisania,10456
Bronx,Central Bronx,10457
Bronx,Bronx Park and Fordham,10458
Bronx,Hunts Point and Mott Haven,10459
Bronx,Central Bronx,10460
Bronx,Southeast Bronx,10461
Bronx,Southeast Bronx,10462
Bronx,Kingsbridge and Riverdale,10463
Bronx,Southeast Bronx,10464
Bronx,Southeast Bronx,10465
Bronx,Northeast Bronx,10466
Bronx,Bronx Park and Fordham,10467
Bronx,Bronx Park and Fordham,10468
Bronx,Northeast Bronx,10469
Bronx,Northeast Bronx,10470
Bronx,Kingsbridge and Riverdale,10471
Bronx,Southeast Bronx,10472
Bronx,Southeast Bronx,10473
Bronx,Hunts Point and Mott Haven,10474
Bronx,Northeast Bronx,10475
Queens,Southeast Queens,11004
Queens,Southeast Queens,11005
Queens,Northwest Queens,11101
Queens,Northwest Queens,11102
Queens,Northwest Queens,11103
Queens,Northwest Queens,11104
Queens,Northwest Queens,11105
Queens,Northwest Queens,11106
Brooklyn,Northwest Brooklyn,11201
Brooklyn,Flatbush,11203
Brooklyn,Borough Park,11204
Brooklyn,Northwest Brooklyn,11205
Brooklyn,Bushwick and Williamsburg,11206
Brooklyn,East New York and New Lots,11207
Brooklyn,East New York and New Lots,11208
Brooklyn,Southwest Brooklyn,11209
Brooklyn,Flatbush,11210
Brooklyn,Greenpoint,11211
Brooklyn,Central Brooklyn,11212
Brooklyn,Central Brooklyn,11213
Brooklyn,Southwest Brooklyn,11214
Brooklyn,Northwest Brooklyn,11215
Brooklyn,Central Brooklyn,11216
Brooklyn,Northwest Brooklyn,11217
Brooklyn,Borough Park,11218
Brooklyn,Borough Park,11219
Brooklyn,Sunset Park,11220
Brooklyn,Bushwick and Williamsburg,11221
Brooklyn,Southern Brooklyn,11223
Brooklyn,Southern Brooklyn,11224
Brooklyn,Flatbush,11225
Brooklyn,Flatbush,11226
Brooklyn,Southwest Brooklyn,11228
Brooklyn,Southern Brooklyn,11229
Brooklyn,Borough Park,11230
Brooklyn,Northwest Brooklyn,11231
Brooklyn,Sunset Park,11232
Brooklyn,Central Brooklyn,11233
Brooklyn,Canarsie and Flatlands,11234
Brooklyn,Southern Brooklyn,11235
Brooklyn,Canarsie and Flatlands,11236
Brooklyn,Bushwick and Williamsburg,11237
Brooklyn,Central Brooklyn,11238
Brooklyn,Canarsie and Flatlands,11239
Queens,North Queens,11354
Queens,North Queens,11355
Queens,North Queens,11356
Queens,North Queens,11357
Queens,North Queens,11358
Queens,North Queens,11359
Queens,North Queens,11360
Queens,Northeast Queens,11361
Queens,Northeast Queens,11362
Queens,Northeast Queens,11363
Queens,Northeast Queens,11364
Queens,Central Queens,11365
Queens,Central Queens,11366
Queens,Central Queens,11367
Queens,West Queens,11368
Queens,West Queens,11369
Queens,West Queens,11370
Queens,West Queens,11372
